Index, Adresse_complète                                                          , Auteur                                     , Date              , Note, Commentaire                                                                                                                                                                                                                                                                                                             , lat    , lng    , Ville
2    , Gendarmerie Nationale 85 Bd Clémenceau 35000 RENNES                       , lisa crepieux                              , il y a un an      , 3   , Personnel gentil mais absolument pas mentionn sur internet que la procuration est impossible sur place se dplacer pour rien cest quelque peu frustrant                                                                                                                                                                  , 48.1147, -1.6794, RENNES
2    , Gendarmerie Nationale 85 Bd Clémenceau 35000 RENNES                       , lisa crepieux                              , il y a un an      , 3   , Personnel gentil mais absolument pas mentionn sur internet que la procuration est impossible sur place se dplacer pour rien cest quelque peu frustrant                                                                                                                                                                  , 48.1147, -1.6794, RENNES
1    , Gendarmerie Nationale 85 bld Clémenceau 35000 RENNES                      , Valentine FEUILLEBOIS                      , il y a 11 mois    , 2   , Apparemment pas possible de faire un dpt de plainte Se faire refouler et par la police et la gendarmerie a fait beaucoup vive la Rpublique Pas tonnant quil y ait toujours autant de faits divers                                                                                                                       , 48.1147, -1.6794, RENNES
2    , Gendarmerie Nationale 85 bld Clémenceau 35000 RENNES                      , lisa crepieux                              , il y a un an      , 3   , Personnel gentil mais absolument pas mentionn sur internet que la procuration est impossible sur place se dplacer pour rien cest quelque peu frustrant                                                                                                                                                                  , 48.1147, -1.6794, RENNES
1    , Gendarmerie Nationale 118 rue de Paris 3000 MOULINS                       , dominique gay                              , il y a 8 mois     , 4   ,                                                                                                                                                                                                                                                                                                                         , 46.5647, 3.3325 , MOULINS
2    , Gendarmerie Nationale 118 rue de Paris 3000 MOULINS                       , Ro S                                       , il y a 9 mois     , 1   , Jai appel  ce jour le 13 aot 2022 a 13h pour signaler quun chien dans une voiture  est en pleine canicule enferm sans ouverture le monsieur me rpond quil ne gre pas cette zone et donc dappeler le 17 Je lui indique avoir appel                                                                                       , 46.5647, 3.3325 , MOULINS
3    , Gendarmerie Nationale 118 rue de Paris 3000 MOULINS                       , Bastien Thomin                             , il y a 2 ans      , 5   , trs bonne accueil et coutes                                                                                                                                                                                                                                                                                             , 46.5647, 3.3325 , MOULINS
1    , Gendarmerie Nationale place du Champ de Mars 7000 PRIVAS                  , d mo                                       , il y a 9 mois     , 5   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , PRIVAS
2    , Gendarmerie Nationale place du Champ de Mars 7000 PRIVAS                  , Clarisse veugle                            , il y a 2 ans      , 1   , Appeler ce jour pour un renseignement de circulation apres 18h pour une personnes vulnerable literallement envoyer balader Je cite Madame nous ne sommes pas payer pour ca Whaouuuuu super le service a la personne nous rentrons vraiment que dans la verbalisation est rien dautre cest idnamissible                  ,        ,        , PRIVAS
3    , Gendarmerie Nationale place du Champ de Mars 7000 PRIVAS                  , Earl Grey                                  , il y a 2 ans      , 1   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , PRIVAS
4    , Gendarmerie Nationale place du Champ de Mars 7000 PRIVAS                  , Evan De Sousa                              , il y a 2 ans      , 1   , Appel ce jour  050820  10h30 au CORG 07 pour signaler un vhicule abandonn et dangereux sur le bord de la RD578  Mezillac 07 Rponse de loprateur Appelez la brigade local ce nest pas mon boulot de la faire et cette personne me raccroche au nez Javais une autre opinion de la gendarmerie                            ,        ,        , PRIVAS
1    , Gendarmerie Nationale 81 Av du docteur Henri Goût 11000 CARCASSONNE       , samuel blondin                             , il y a 9 mois     , 5   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , CARCASSONNE
2    , Gendarmerie Nationale 81 Av du docteur Henri Goût 11000 CARCASSONNE       , soona senin                                , il y a 2 ans      , 1   , Surtout apeller si on a besoin de rien                                                                                                                                                                                                                                                                                  ,        ,        , CARCASSONNE
1    , Gendarmerie Nationale 2 bld de l’artillerie 16000 ANGOULEME               , Mathis _vrcc                               , il y a 10 mois    , 5   ,                                                                                                                                                                                                                                                                                                                         , 45.65  , 0.16   , ANGOULEME
2    , Gendarmerie Nationale 2 bld de l’artillerie 16000 ANGOULEME               , Aurélie Martin                             , il y a 10 mois    , 5   , Merci beaucoup de laide du soutien et de lcoute dont vous avez fait preuve lorsque des membres de ma famille sont venus dposer plaintes                                                                                                                                                                                 , 45.65  , 0.16   , ANGOULEME
3    , Gendarmerie Nationale 2 bld de l’artillerie 16000 ANGOULEME               , Tiphanie M                                 , il y a 11 mois    , 5   , ParfaitJe me suis dplace pour finaliser une procuration internet pour les lections Je suis tombe sur une personne trs agrable et trs professionnelle  Merci monsieur davoir pris mon dossier mme un jour fri Ctait trs gentil de votre part                                                                             , 45.65  , 0.16   , ANGOULEME
4    , Gendarmerie Nationale 2 bld de l’artillerie 16000 ANGOULEME               , TNT                                        , il y a un an      , 5   , De bon conseil accueil parfait Merci                                                                                                                                                                                                                                                                                    , 45.65  , 0.16   , ANGOULEME
5    , Gendarmerie Nationale 2 bld de l’artillerie 16000 ANGOULEME               , Guillaume Farbos                           , il y a un an      , 1   ,                                                                                                                                                                                                                                                                                                                         , 45.65  , 0.16   , ANGOULEME
6    , Gendarmerie Nationale 2 bld de l’artillerie 16000 ANGOULEME               , Mayan Rousseau                             , il y a un an      , 1   ,                                                                                                                                                                                                                                                                                                                         , 45.65  , 0.16   , ANGOULEME
7    , Gendarmerie Nationale 2 bld de l’artillerie 16000 ANGOULEME               , Marielouise16                              , il y a 2 ans      , 1   , Acceuil tlphonique lamentableAucun dplacement de la policeSi besoin il faut se debrouiller                                                                                                                                                                                                                              , 45.65  , 0.16   , ANGOULEME
1    , Gendarmerie Nationale 30 bld Maréchal Joffre 21000 DIJON                  , Ad 21                                      , il y a un an      , 1   ,                                                                                                                                                                                                                                                                                                                         , 47.3167, 5.0167 , DIJON
2    , Gendarmerie Nationale 30 bld Maréchal Joffre 21000 DIJON                  , Ronan Marin                                , il y a un an      , 5   ,                                                                                                                                                                                                                                                                                                                         , 47.3167, 5.0167 , DIJON
3    , Gendarmerie Nationale 30 bld Maréchal Joffre 21000 DIJON                  , Stéphane Gandour                           , il y a 2 ans      , 5   ,                                                                                                                                                                                                                                                                                                                         , 47.3167, 5.0167 , DIJON
4    , Gendarmerie Nationale 30 bld Maréchal Joffre 21000 DIJON                  , Fab B                                      , il y a 2 ans      , 5   , Btiments plus que vtustes Perso jy vais en visiteur et cest franchement suffisant                                                                                                                                                                                                                                       , 47.3167, 5.0167 , DIJON
5    , Gendarmerie Nationale 30 bld Maréchal Joffre 21000 DIJON                  , chanard pastis                             , il y a 2 ans      , 5   , Tres jolie                                                                                                                                                                                                                                                                                                              , 47.3167, 5.0167 , DIJON
6    , Gendarmerie Nationale 30 bld Maréchal Joffre 21000 DIJON                  , Inco Gnito                                 , il y a 2 ans      , 1   , Des gendarmes qui se placent  des endroits stratgiques pour faire du bnfice et qui aprs avoir verbalis des pauvres riverains qui ne font rien de mal en prenant un sens semi interdit de 3 mtres semi interdit puisque les                                                                                              , 47.3167, 5.0167 , DIJON
7    , Gendarmerie Nationale 30 bld Maréchal Joffre 21000 DIJON                  , Laetitia Blatter                           , il y a 2 ans      , 1   , Les btiments sont particulirement affreux                                                                                                                                                                                                                                                                               , 47.3167, 5.0167 , DIJON
8    , Gendarmerie Nationale 30 bld Maréchal Joffre 21000 DIJON                  , Noel Charlopin                             , il y a 2 ans      , 4   ,                                                                                                                                                                                                                                                                                                                         , 47.3167, 5.0167 , DIJON
1    , Gendarmerie Nationale 2 route de Corbigny 23000 GUERET                    , Louizi                                     , il y a 7 mois     , 4   , Les lieux manquent de dcorations mais le personnel est plus accueillant que lon ne limagine                                                                                                                                                                                                                             ,        ,        , GUERET
2    , Gendarmerie Nationale 2 route de Corbigny 23000 GUERET                    , V Wolfs                                    , il y a 2 ans      , 4   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , GUERET
1    , Gendarmerie Nationale av Dupré de Loire 26000 VALENCE                     , Christine K                                , il y a 11 mois    , 4   ,                                                                                                                                                                                                                                                                                                                         , 44.9333, 4.8917 , VALENCE
1    , Gendarmerie Nationale 124 av du général Sarrail 51000 CHALONS EN CHAMPAGNE, Nourdine Chioukh                           , il y a un an      , 3   , Merci pour votre travail et merci de nous faire attendre sous la pluie                                                                                                                                                                                                                                                  ,        ,        , CHALONS EN CHAMPAGNE
2    , Gendarmerie Nationale 124 av du général Sarrail 51000 CHALONS EN CHAMPAGNE, Anthony Chantier                           , il y a un an      , 5   , Merci pour votre travail                                                                                                                                                                                                                                                                                                ,        ,        , CHALONS EN CHAMPAGNE
3    , Gendarmerie Nationale 124 av du général Sarrail 51000 CHALONS EN CHAMPAGNE, renaudet anne laure                        , il y a un an      , 5   , Sympa                                                                                                                                                                                                                                                                                                                   ,        ,        , CHALONS EN CHAMPAGNE
1    , Gendarmerie Nationale 75ter av Marceau Hamecher 82000 MONTAUBAN           , lizzie cls                                 , il y a 8 mois     , 1   , Font les hypocrites devant moi et mme avec les preuves ils disent  mon pre que je mens alors que non                                                                                                                                                                                                                    ,        ,        , MONTAUBAN
2    , Gendarmerie Nationale 75ter av Marceau Hamecher 82000 MONTAUBAN           , Myriam Pernot                              , il y a un an      , 1   , Refusent les procurations alors que cest leur devoir  Merci de votre service public                                                                                                                                                                                                                                     ,        ,        , MONTAUBAN
3    , Gendarmerie Nationale 75ter av Marceau Hamecher 82000 MONTAUBAN           , Julien                                     , il y a un an      , 1   , Cambriolage en 2018 voleur retrouver en 2021mais impossible de savoir si les biens eux on t retrouv cool appart tre convoqu au tribunal pour mettre une personne de plus sous les barreaux le reste il s en tape le coquillard                                                                                          ,        ,        , MONTAUBAN
4    , Gendarmerie Nationale 75ter av Marceau Hamecher 82000 MONTAUBAN           , Ryad Boutiayer                             , il y a 2 ans      , 5   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , MONTAUBAN
1    , Gendarmerie Nationale 168 Av Sainte-Marguerite 6000 NICE                  , "batmurjas ,"                              , il y a un an      , 5   ,                                                                                                                                                                                                                                                                                                                         , 43.7034, 7.2663 , NICE
2    , Gendarmerie Nationale 168 Av Sainte-Marguerite 6000 NICE                  , Coralie Schluter                           , il y a un an      , 5   ,                                                                                                                                                                                                                                                                                                                         , 43.7034, 7.2663 , NICE
3    , Gendarmerie Nationale 168 Av Sainte-Marguerite 6000 NICE                  , Prota Paquebot                             , il y a 2 ans      , 5   ,                                                                                                                                                                                                                                                                                                                         , 43.7034, 7.2663 , NICE
1    , Gendarmerie Nationale 198 Av Charles de Gaulle 8000 CHARLEVILLE MEZIERES  , Karine Fritz                               , il y a 10 mois    , 5   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , CHARLEVILLE MEZIERES
2    , Gendarmerie Nationale 198 Av Charles de Gaulle 8000 CHARLEVILLE MEZIERES  , Perla Caribe                               , il y a 2 ans      , 3   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , CHARLEVILLE MEZIERES
3    , Gendarmerie Nationale 198 Av Charles de Gaulle 8000 CHARLEVILLE MEZIERES  , N.IGL                                      , il y a 2 ans      , 5   , Au top                                                                                                                                                                                                                                                                                                                  ,        ,        , CHARLEVILLE MEZIERES
1    , Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC                , Delphine Baldeck                           , il y a 9 mois     , 1   , Accueil tlphonique dplorable et non informant                                                                                                                                                                                                                                                                           , 48.5136, -2.7653, SAINT-BRIEUC
2    , Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC                , lbensd                                     , il y a 9 mois     , 1   ,                                                                                                                                                                                                                                                                                                                         , 48.5136, -2.7653, SAINT-BRIEUC
3    , Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC                , Marc Gledel                                , il y a 11 mois    , 1   , Lors dune festoyade entre ami cest avec stupeur que nous avons vue le majordome de lhtel venir nous chercher ds le dbut des festivits Une fois arriver  lhtel la fouille tait trs intrusive et les chambres lugubres de plus le                                                                                         , 48.5136, -2.7653, SAINT-BRIEUC
