Index, Adresse_complète                                                          , Auteur                                     , Date              , Note, Commentaire                                                                                                                                                                                                                                                                                                             , lat    , lng    , Ville
4    , Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC                , Richard Leblanc                            , il y a 11 mois    , 5   , Je passe juste un petit message pour remercier la gendarmerie de SaintBrieuc de veiller sur notre scurit et je vous souhaite un bon courage  toute la brigade merci  vous                                                                                                                                               , 48.5136, -2.7653, SAINT-BRIEUC
5    , Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC                , Steve Beyer                                , il y a 11 mois    , 5   ,                                                                                                                                                                                                                                                                                                                         , 48.5136, -2.7653, SAINT-BRIEUC
6    , Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC                , ilan corouge                               , il y a un an      , 5   ,                                                                                                                                                                                                                                                                                                                         , 48.5136, -2.7653, SAINT-BRIEUC
7    , Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC                , Tim DKG                                    , il y a un an      , 1   , cowboys qui quand le taux dalcoolmie est moins lev quespr refusent de charger les portables manquants de batterie et virent de la caserne sans dire bonne soire Je ne recommande pas                                                                                                                                    , 48.5136, -2.7653, SAINT-BRIEUC
8    , Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC                , Philippe Renaut                            , il y a un an      , 3   ,                                                                                                                                                                                                                                                                                                                         , 48.5136, -2.7653, SAINT-BRIEUC
9    , Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC                , Pit Za                                     , il y a 2 ans      , 5   , Dabord jai mis une date au hasard avec un autre compte mais franchement bonne ambiance je suis daccord avec le mot qui est pass dans le Tlgramme  gav calme agents de police trs sympa bon ctait pour moins de 1 heure mais quand mme                                                                                   , 48.5136, -2.7653, SAINT-BRIEUC
10   , Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC                , Valoo                                      , il y a 2 ans      , 4   , Voisins sympas dans lensemble  seulement ils aiment bien se faire remarquer quand ils partent de chez eux avec des giropharesPoint ngatif  leur portail fait beaucoup de bruit la nuit quand il rentre de                                                                                                               , 48.5136, -2.7653, SAINT-BRIEUC
1    , Gendarmerie Nationale 23 av du général Largeau 79000 NIORT                , anthony renaudeau                          , il y a 11 mois    , 3   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , NIORT
2    , Gendarmerie Nationale 23 av du général Largeau 79000 NIORT                , Cherry Fellazz                             , il y a un an      , 1   , Nassure pas laccueil du public pourtant est ce que a ne serait pas le rle dune gendarmerie  Totalement inutile comme trs souvent                                                                                                                                                                                        ,        ,        , NIORT
1    , Gendarmerie Nationale rue Gallois de Fougières 5000 GAP                   , Gérard Pandore (pandore05)                 , il y a 2 mois     , 5   , Un bon service  lcoute                                                                                                                                                                                                                                                                                                  ,        ,        , GAP
