Index;Adresse;Auteur;Date;Note;Commentaire
3;Gendarmerie Nationale 168 Av Sainte-Marguerite 6000 NICE;Prota Paquebot;il y a 2 ans;5;
1;Gendarmerie Nationale 198 Av Charles de Gaulle 8000 CHARLEVILLE MEZIERES;Karine Fritz;il y a 10 mois;5;
2;Gendarmerie Nationale 198 Av Charles de Gaulle 8000 CHARLEVILLE MEZIERES;Perla Caribe;il y a 2 ans;3;
3;Gendarmerie Nationale 198 Av Charles de Gaulle 8000 CHARLEVILLE MEZIERES;N.IGL;il y a 2 ans;5;
1;Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC;Delphine Baldeck;il y a 9 mois;1;Accueil telephonique deplorable et non informant
2;Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC;lbensd;il y a 9 mois;1;
4;Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC;Richard Leblanc;il y a 11 mois;5;
5;Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC;Steve Beyer;il y a 11 mois;5;
6;Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC;ilan corouge;il y a un an;5;
7;Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC;Tim DKG;il y a un an;1;
8;Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC;Philippe Renaut;il y a un an;3;
9;Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC;Pit Za;il y a 2 ans;5;
10;Gendarmerie Nationale 30 rue de la gare 22000 SAINT-BRIEUC;Valoo;il y a 2 ans;4;
1;Gendarmerie Nationale 23 av du g�n�ral Largeau 79000 NIORT;anthony renaudeau;il y a 11 mois;3;
2;Gendarmerie Nationale 23 av du g�n�ral Largeau 79000 NIORT;Cherry Fellazz;il y a un an;1;N assure pas l accueil du public pourtant est ce que a ne serait pas le role dune gendarmerie  Totalement inutile comme tres souvent
1;Gendarmerie Nationale rue Gallois de Fougi�res 5000 GAP;G�rard Pandore (pandore05);il y a 2 mois;5;
2;Gendarmerie Nationale rue Gallois de Fougi�res 5000 GAP;Malet Aymeric;il y a 2 ans;1;
1;Gendarmerie Nationale 27 rue Massey 65000 TARBES;papayayou;il y a un an;5;
